"ProbeID" "X" "Y" "Z" "hemi" "rgbx" "rgby" "rgbz" "moda" "ROINb" "ROIlabel" "SumR2_ADNI1" "SumR2_ADNI2GO3" "SumR2_AIBL" "SumR2_UKB" "SumR2_AVERAGE"
"LogJacs_10_1" 141.848541 110.849533 96.777756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 636.47919986173 567.698256606255 798.336805768018 497.170527480914 624.921197429229
"LogJacs_10_10" 137.306549 111.623535 96.964752 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 561.108851010862 535.509784147455 753.914755435442 489.254853679898 584.947061068414
"LogJacs_10_100" 139.576538 108.14753 97.812759 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 647.851064797834 610.843412285371 837.537122376301 551.831576460748 662.015793980064
"LogJacs_10_1000" 138.080566 97.405533 107.785751 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 907.88535269054 552.865095552328 855.845971253515 479.493481737496 699.02247530847
"LogJacs_10_1001" 142.474579 98.10553 108.013748 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 1042.19052445913 730.986272274018 931.395605608264 509.53106938836 803.525867932443
"LogJacs_10_1002" 143.106567 98.63253 108.456757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 939.283116571871 653.027922333779 872.298266613632 461.258545366652 731.466962721483
"LogJacs_10_1003" 137.267578 97.653534 107.546753 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 889.30178345473 561.781954191001 861.321149769638 515.395325037718 706.950053113272
"LogJacs_10_1004" 136.606567 98.038536 107.157761 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 843.078585952325 571.083121269007 825.372487916368 537.16028306707 694.173619551193
"LogJacs_10_1005" 136.334579 97.66153 108.109756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 801.953573059252 519.965039764563 772.350441719423 491.95309621706 646.555537690075
"LogJacs_10_1006" 135.373581 98.167534 107.904755 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 737.287676611969 529.58275424176 703.154046318221 500.407606766447 617.608020984599
"LogJacs_10_1007" 135.929581 98.003532 107.721756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 752.955434113546 517.526234908329 719.59955272427 491.107421677693 620.29716085596
"LogJacs_10_1008" 135.627579 97.84053 108.336761 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 741.68446381619 504.040735995266 702.229800124055 478.993027358056 606.737006823392
"LogJacs_10_1009" 132.969574 99.433525 108.288757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 697.700377720337 668.121793693006 842.264498476135 560.769973289506 692.214160794746
"LogJacs_10_101" 138.563538 108.379532 97.898758 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 639.529573449049 605.101748613067 839.367220390957 545.143350070052 657.285473130781
"LogJacs_10_1010" 143.606567 98.935532 107.743744 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 886.680340084877 626.647853074325 856.49429034427 473.676492780758 710.874744071058
"LogJacs_10_1011" 144.577576 99.885536 107.970749 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 612.491649754151 470.162830923768 693.488807270773 403.525648741289 544.917234172495
"LogJacs_10_1012" 133.61058 99.306534 107.798752 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 759.225307503546 708.701321192534 885.406425992472 615.530276912436 742.215832900247
"LogJacs_10_1013" 133.37558 100.117531 106.677765 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 800.510653854074 766.291600437933 952.428684757571 678.38462151311 799.403890140672
"LogJacs_10_1014" 132.382568 100.430527 107.17276 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 721.849657253049 693.896772278785 846.484266032252 556.880405612689 704.777775294194
"LogJacs_10_1015" 132.73558 99.833527 107.79776 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 733.400072299638 711.486999439282 890.43897501465 596.266934886087 732.898245409914
"LogJacs_10_1016" 145.064575 100.432533 107.875748 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 523.119056912196 422.103774365183 628.190714766638 381.019715466942 488.60831537774
"LogJacs_10_1017" 131.780579 100.668526 107.414764 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 664.98519940689 630.827720028436 743.293826664454 464.58448433869 625.922807609618
"LogJacs_10_1018" 131.371567 101.120522 107.234756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 700.853485175804 649.609726961528 756.284263927804 458.795263543344 641.38568490212
"LogJacs_10_1019" 131.380569 100.719528 107.782761 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 655.148079952178 620.268189925454 716.470945884583 445.887435755112 609.443662879332
"LogJacs_10_102" 137.542542 107.749535 98.404755 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 670.739439527436 620.943285286448 835.551770216994 552.467739470041 669.92555862523
