"V1" "b_ADNI1" "se_ADNI1" "t_ADNI1" "pval_ADNI1" "b_ADNI2GO3" "se_ADNI2GO3" "t_ADNI2GO3" "pval_ADNI2GO3" "b_AIBL" "se_AIBL" "t_AIBL" "pval_AIBL" "b_ARWIBO" "se_ARWIBO" "t_ARWIBO" "pval_ARWIBO" "b_OASIS" "se_OASIS" "t_OASIS" "pval_OASIS" "TE.random" "seTE.random" "pval.random" "Q" "pval.Q" "TE.fixed" "seTE.fixed" "pval.fixed"
"L_bankssts_surfavg" -0.042382752252363 0.0268253863881585 -1.57994936733034 0.115032174949264 -0.0310577548374099 0.0147110020105863 -2.11119234536574 0.035111732669105 -0.03048801150742 0.0166229456862035 -1.83409198844487 0.0672332675209808 -0.00806077509099216 0.0109992290482885 -0.732849098387166 0.463857882497956 -0.036787271249208 0.0151251124357219 -2.43219820054529 0.0151847594575973 -0.0252801205306871 0.0075238880141616 0.000779478420892344 3.66531677572763 0.453190479440554 -0.0242598709831678 0.00670156923254504 0.000294570676135802
"L_bankssts_thickavg" -0.0706423811376658 0.029588262164738 -2.38751369527388 0.0174989937973878 -0.0211394605932421 0.017534964494123 -1.20556050172369 0.22839669043466 -0.0144396177491933 0.0189263337893999 -0.762937920775788 0.445859495971738 -0.0601801965545211 0.0147041216072265 -4.09274339277396 4.68035749449049e-05 -0.00333591253424557 0.0156016516636834 -0.21381790890837 0.830733309094364 -0.0310625429505653 0.0127026198394135 0.0144705580447491 9.95055548687347 0.0412688557133015 -0.0302644733978072 0.00792562939873369 0.000134234173969738
"L_caudalanteriorcingulate_surfavg" 0.0155791865202079 0.0252453951951441 0.617110027384499 0.537568029605114 0.0235550220627169 0.0147379886557121 1.59825215047832 0.110440726154039 0.0259959629568332 0.0158764945298731 1.63738682414555 0.102177577592863 0.00458208389801734 0.00967181050677804 0.473756583093331 0.635798388482637 0.0124795435760299 0.013646419458265 0.914492157755831 0.360682098691574 0.0134357046421498 0.00617799667605459 0.029647564872867 1.94739908972637 0.745433148862073 0.0134357046421498 0.00617799667605459 0.029647564872867
"L_caudalanteriorcingulate_thickavg" 0.0441242425529119 0.0225105984606225 1.96015413051314 0.0507799903759006 0.0202708851301277 0.0129082461450998 1.57038259901969 0.116780606756854 0.0333798276064293 0.0148774207110643 2.24365689824211 0.0252905378348578 0.00788008379472344 0.0107896498805733 0.730337303058505 0.465390617022908 0.00465139884419328 0.0129712704517306 0.358592387808298 0.719976883883453 0.016840004561809 0.00609178578337122 0.00570312583996157 4.34826003457135 0.360920909181512 0.0168309514313855 0.00608284921180329 0.00565830958866704
"L_caudalmiddlefrontal_surfavg" 0.0514251410483594 0.0287462362518423 1.78893475298227 0.0744999776429583 0.0336432976933715 0.0163462649247245 2.05816422579108 0.0399461599187954 -0.00100608071931137 0.0191686003521827 -0.0524858727724899 0.958162472233719 0.000470339089834662 0.0116614937113198 0.0403326624768579 0.967837636914826 0.0347176200457984 0.0168197807347437 2.06409468668542 0.0392701525583639 0.0193671546846241 0.00982522599307277 0.0487048535208347 6.47112883471867 0.166618614521275 0.0167855710917022 0.00733977070834585 0.0221996764610736
"L_caudalmiddlefrontal_thickavg" 0.0418307689720268 0.0364937343153015 1.14624523241754 0.25248579899051 0.00631580219012855 0.0205079434601371 0.307968578244087 0.758198382452296 0.0324829799391727 0.0224577314296627 1.44640521866195 0.148688893529336 0.0339962216065 0.0210784846750364 1.61283992329687 0.107160334248969 0.0176566209767292 0.01907558470813 0.92561361797754 0.354873529644006 0.0233300398072654 0.00994534881365401 0.0189850603113686 1.45593290056799 0.83441767266238 0.0233300398072654 0.00994534881365401 0.0189850603113686
"L_cuneus_surfavg" 0.0115752733820303 0.0283003407614955 0.409015335878191 0.682781462218023 0.0150743567658429 0.0154484508905876 0.975784360037506 0.329510358633108 0.0167523616723736 0.0172453724445536 0.971411996246232 0.331811906018444 -0.00119418965075095 0.0105595395195474 -0.113091072630612 0.909985765421444 0.0196932368454776 0.0151543132988439 1.29951364058046 0.194071770640304 0.00944625161567023 0.00672309840443853 0.160008082347166 1.79046551743732 0.774226277515086 0.00944625161567023 0.00672309840443853 0.160008082347166
"L_cuneus_thickavg" 0.0730873624168479 0.0247577499079084 2.95210036003722 0.0033717073195872 0.0854803347062543 0.0154371772758483 5.5373034317608 4.35609760888403e-08 0.0279389300644652 0.0153939967878453 1.81492372965318 0.0701334692103171 0.0241768723783154 0.0110918069148567 2.17970548567089 0.029560377348271 0.0454627307790361 0.0138355405958858 3.28593815788847 0.00105230638172596 0.0486421596793786 0.0122935738029771 7.59877098783163e-05 12.8942869274272 0.0118040459101262 0.0440109970339692 0.00653722291501444 1.66922631840549e-11
"L_entorhinal_surfavg" -0.123506387768091 0.0245867230756953 -5.02329600361347 8.15522694320165e-07 -0.014657973331425 0.0140336642557836 -1.04448653354266 0.296622973437539 -0.0457716297900157 0.0163185975716418 -2.80487520996025 0.00522920486159678 -0.0245879000506379 0.00968850192740436 -2.53784333582986 0.0113360741748056 -0.0172327897603827 0.0134918663679453 -1.27727249073007 0.201807045089567 -0.0413411449406229 0.017729097793286 0.0197099245833185 17.7979787476049 0.0013514776827576 -0.0303083455664293 0.00612747933429193 7.56377087776807e-07
"L_entorhinal_thickavg" -0.233940695291337 0.0221466533483379 -10.5632526780347 8.58473487681543e-23 -0.213965045650279 0.0132978506017703 -16.0901977363015 9.24237629807724e-50 -0.112764586499146 0.0160291739952685 -7.0349592893827 6.57756975952111e-12 -0.0537716250218713 0.0114921498277524 -4.67898746777721 3.36644639077028e-06 -0.0913468065813101 0.0140419637169857 -6.5052729391982 1.23185854695661e-10 -0.14021538199102 0.0351024978446043 6.48429702540007e-05 113.654005609468 1.20914098443153e-23 -0.123662552480567 0.00642435449525612 1.43847955603114e-82
